George Clinton & Parliament Funkadelic (TALLAHASSEE, FL)
Boise Rockeoke (BOISE, ID)
Chief Broom (BOISE, ID)
Ali Ryan (BOISE, ID)
Kyler Daron (BOISE, ID)
Lakoda (BOISE, ID)
Discoma (BOISE. ID)
illest*Lyricists (TWIN FALLS, ID)
Illumneye Crew (BOISE, ID)
Jared Hallock (BOISE, ID)
Danger Bomb (RICHMOND, VA)
Caitlin Jemma & the Goodness (EUGENE, OR)
/k/ (BOISE, ID)
